,良い/悪い,好きな/嫌いな,繊細な/無骨な,明るい/暗い,陽気な/陰気な,騒がしい/静かな,動的な/静的な,緊張した/緩んだ,軽い/重い,派手な/地味な,鋭い/鈍い,暖かい/冷たい,丈夫な/華奢な,湿った/乾いた,高級感/安っぽい,硬い/柔らかい,
1,3,3,3,3,3,2,3,3,2,3,2,3,3,4,3,3,
2,4,3,4,4,3,2,1,2,4,2,2,4,2,4,2,2,
3,4,4,4,2,2,2,2,4,2,2,2,2,4,4,4,1,
4,2,3,4,2,2,2,2,4,2,2,3,2,2,3,3,4,
5,2,3,2,4,4,4,5,2,3,4,2,3,3,4,2,2,
6,1,2,4,3,3,2,1,2,4,2,2,3,2,3,3,1,
7,2,2,4,3,3,3,4,2,4,4,2,3,1,4,2,2,
8,4,4,2,4,4,4,4,4,1,4,1,4,4,4,5,4,
9,1,1,1,4,3,5,5,2,3,3,2,3,5,4,2,2,
10,2,2,4,2,2,4,2,1,4,1,1,4,4,4,2,2,
11,3,2,3,2,2,3,2,3,3,3,2,2,3,4,3,2,
12,2,2,2,2,1,2,1,4,2,2,2,2,4,4,2,2,
13,4,4,2,4,4,5,4,1,4,2,1,5,2,4,4,2,
14,2,2,2,4,4,4,4,1,2,4,2,4,3,5,2,1,
15,4,4,4,4,4,5,1,4,5,1,5,4,2,4,4,2,
16,3,4,3,3,3,2,3,2,2,3,1,3,2,3,3,3,3
17,3,3,3,3,4,4,2,3,2,4,2,2,2,4,4,2,3
18,4,3,2,4,3,2,2,3,2,4,2,3,2,4,3,2,4
19,3,3,2,3,4,4,2,2,1,4,4,2,4,2,2,4,3
20,3,3,3,3,3,4,4,3,2,4,3,3,4,3,3,3,4
21,4,3,4,2,2,2,2,2,3,2,2,3,4,4,3,2,3
22,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
23,3,3,1,2,2,4,2,2,3,4,2,2,4,2,4,2,4
24,3,3,2,2,2,4,2,4,4,4,2,4,2,4,2,1,3
25,4,4,3,4,4,3,2,2,4,3,2,2,3,3,3,2,4
26,2,2,2,2,2,4,1,3,2,1,2,3,3,4,2,3,2
27,2,3,4,2,2,2,2,2,3,2,2,3,4,4,3,4,2
28,3,4,4,2,2,4,4,3,3,4,3,4,3,4,3,4,3
29,2,2,2,4,4,4,4,2,2,4,2,4,4,4,2,2,2
30,2,2,4,2,1,1,2,3,2,1,2,1,4,4,4,3,4
31,2,2,3,5,4,2,1,4,2,2,1,2,4,1,1,2,3
32,2,2,2,2,2,3,2,2,2,2,2,4,4,4,2,3,2
33,1,1,2,2,2,3,2,2,4,1,2,3,1,4,2,1,1
34,3,1,3,3,3,2,2,4,2,1,1,3,2,3,3,3,3
35,2,2,4,2,2,2,2,4,5,2,5,2,2,2,1,2,2
36,2,2,2,4,4,4,4,3,2,2,2,4,5,2,2,2,2
37,5,5,5,5,5,5,2,2,3,1,4,5,2,3,4,2,5